!
!     ZIMS FILE NAME :  B23Ð£ÕýH3A_YF_tie_v2.grd
!     FORMATTED FILE CREATION DATE: 22/02/2021
!     FORMATTED FILE CREATION TIME: 10:12
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   193,  369,  280780.0000,  299180.0000,  2346500.0000,  2356100.0000
   0.0000,  50.0000,  50.0000
@
     -2168.5969     -2170.2720     -2171.8501     -2173.2629     -2174.4419
     -2175.2920     -2175.7109     -2175.6560     -2175.0591     -2173.8889
     -2172.0891     -2169.6699     -2166.5779     -2162.9551     -2158.8220
     -2154.4839     -2150.1260     -2146.1311     -2142.8401     -2140.5640
     -2139.7280     -2140.3379     -2142.6101     -2146.3401     -2151.5330
     -2157.7690     -2164.7749     -2172.1140     -2179.3369     -2186.2119
     -2192.2881     -2197.7671     -2202.6101     -2207.0891     -2211.4141
     -2215.7400     -2220.3040     -2225.0740     -2230.1311     -2235.3770
     -2240.7280     -2246.2319     -2251.8650     -2257.7571     -2264.0330
     -2270.6819     -2277.8459     -2285.1931     -2292.6670     -2299.5859
     -2305.5371     -2309.6550     -2311.1870     -2309.3831     -2303.3311
     -2292.7661     -2276.9470     -2256.3979     -2230.9580     -2201.9490
     -2170.0801     -2137.0430     -2104.3069     -2073.2471     -2045.5530
     -2021.7450     -2003.0490     -1989.0300     -1979.9880     -1974.9460
     -1973.3330     -1974.2209     -1976.6670     -1980.1390     -1983.8340
     -1987.6281     -1991.1000     -1994.3240     -1997.2080     -1999.8220
     -2002.2040     -2004.3590     -2006.3120     -2008.0320     -2009.4969
     -2010.6980     -2011.6000     -2012.2660     -2012.7250     -2013.0360
     -2013.2670     -2013.4200     -2013.5341     -2013.5800     -2013.5510
     -2013.4170     -2013.1450     -2012.7380     -2012.1801     -2011.5070
     -2010.7390     -2009.9160     -2009.0750     -2008.2400     -2007.4460
     -2006.6960     -2006.0050     -2005.3740     -2004.8030     -2004.3149
     -2003.9250     -2003.6600     -2003.5530     -2003.6130     -2003.8710
     -2004.3080     -2004.9320     -2005.7000     -2006.5880     -2007.5540
     -2008.5660     -2009.5620     -2010.4860     -2011.2889     -2011.8940
     -2012.3210     -2012.5380     -2012.6140     -2012.5890     -2012.5190
     -2012.4720     -2012.4561     -2012.5100     -2012.6169     -2012.7760
     -2012.9750     -2013.2020     -2013.4550     -2013.7290     -2014.0270
     -2014.3540     -2014.7111     -2015.1040     -2015.5330     -2016.0010
     -2016.5050     -2017.0450     -2017.6160     -2018.2159     -2018.8380
     -2019.4800     -2020.1370     -2020.8051     -2021.4830     -2022.1689
     -2022.8610     -2023.5590     -2024.2629     -2024.9709     -2025.6840
     -2026.3990     -2027.1169     -2027.8330     -2028.5490     -2029.2610
