!
!     ZIMS FILE NAME :  LF7-10_ep225_top.grd
!     FORMATTED FILE CREATION DATE: 26/01/2021
!     FORMATTED FILE CREATION TIME: 09:41
!     COORDINATE REFERENCE SYSTEM: WGS_1984_UTM_Zone_50N
!
@Grid HEADER, GRID, 5
 15,  0.1000000E+31,  ,  7,  1
   56,  83,  396608.6875,  404808.6875,  2393950.0000,  2399450.0000
   0.0000,  100.0000,  100.0000
@
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3238.0471      3232.7610      3227.5129      3222.6479      3218.2739
      3214.2329      3210.0591      3205.4709      3200.7090      3196.6699
      3194.1221      3193.1699      3193.2681      3193.5610      3193.2261
      3191.5400      3188.1411      3183.0029      3176.4250      3168.8479
      3160.6350      3152.0759      3143.2451      3134.0811      3124.3540
      3114.2571      3104.1079      3093.9509      3083.7871  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3240.0149      3234.3430      3228.7041      3223.5491      3219.0520
      3214.8779      3210.4600      3205.4399      3200.2549      3195.7910
      3192.8059      3191.4570      3191.3799      3191.9399      3192.2959
      3191.5649      3189.1230      3184.7971      3178.9270      3172.0630
      3164.6570      3156.9910      3149.1011      3140.8340      3132.0381
      3122.9580      3113.6340      3104.0520      3094.0530      3083.3110
      3071.4951      3058.6230      3045.2229      3031.8000  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3241.3589      3235.5859      3229.9031      3224.8359      3220.4121
      3216.1819      3211.5029      3206.1521      3200.5710      3195.5959
      3191.9189      3189.9141      3189.5549      3190.3279      3191.3611
      3191.5400      3189.9810      3186.4880      3181.3760      3175.2000
      3168.5601      3161.8020      3154.9121      3147.6101      3139.9041
      3131.7720      3123.2749      3114.2649      3104.3569      3093.1541
      3080.8191      3067.6221      3054.0811      3040.5510      3027.3330
      3014.6541      3002.6011      2991.2971  0.1000000E+31  0.1000000E+31
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
      3242.1741      3236.5759      3231.1860      3226.3650      3222.0049
      3217.6411      3212.7041      3207.0581      3201.0991      3195.4829
      3191.0220      3188.3960      3187.7729      3188.7991      3190.4719
      3191.4409      3190.7791      3188.1421      3183.7339      3178.2219
      3172.3311      3166.4919      3160.5559      3154.2939      3147.5071
      3140.2410      3132.4719      3123.9441      3114.2209      3102.9341
      3090.3291      3076.8979      3063.0869      3049.2561      3035.7629
      3022.7681      3010.7300      3000.0359      2990.9509      2982.5769
      2974.7749
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31      3247.8140
      3242.7991      3237.5730      3232.5471      3227.8569      3223.4150
      3218.8049      3213.6340      3207.7759      3201.4089      3195.1609
      3190.0491      3186.8950      3186.1260      3187.4241      3189.6311
      3191.3860      3191.6270      3189.8020      3186.0891      3181.2380
      3176.1631      3171.1809      3166.1211      3160.6609      3154.6321
      3148.0430      3140.8469      3132.8140      3123.3721      3112.2930
      3099.8491      3086.4551      3072.4729      3058.2649      3044.2500
      3030.9929      3018.9260      3007.9470      2997.6211      2987.5349
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31      3248.7261
      3243.7480      3238.8130      3233.9070      3229.1311      3224.4199
      3219.5610      3214.2649      3208.2480      3201.5161      3194.8149
      3189.1880      3185.6709      3184.8401      3186.3259      3188.9919
      3191.4729      3192.5239      3191.4519      3188.4309      3184.4021
      3180.1399      3175.8870      3171.4751      3166.5811      3161.0750
      3154.9800      3148.2991      3140.6321      3131.5979      3121.0510
      3109.1350      3096.1001      3082.2219      3067.8350      3053.5859
      3040.0920      3027.5239      3015.5190      3003.7041      2991.9910
  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31
  0.1000000E+31  0.1000000E+31  0.1000000E+31  0.1000000E+31      3249.8511
      3245.0791      3240.2280      3235.2329      3230.1750      3225.1621
      3220.1550      3214.8359      3208.6919      3201.7920      3194.8149
      3188.8779      3185.1560      3184.2290      3185.7439      3188.6799
      3191.6489      3193.2949      3192.9050      3190.7871      3187.6570
      3184.1260      3180.4480      3176.4651      3171.9509      3166.8069
      3161.0349      3154.5710      3147.2209      3138.7080      3128.8650
